three_character,group,sub_chapter,chapter
O89,Complications of anaesthesia during the puerperium,Complications predominantly related to the puerperium,"Pregnancy, childbirth and the peurperium"
O90,"Complications of the puerperium, not elsewhere classified",Complications predominantly related to the puerperium,"Pregnancy, childbirth and the peurperium"
O91,Infections of breast associated with childbirth,Complications predominantly related to the puerperium,"Pregnancy, childbirth and the peurperium"
O92,Other disorders of breast and lactation associated with childbirth,Complications predominantly related to the puerperium,"Pregnancy, childbirth and the peurperium"
O94,"Sequelae of complication of pregnancy, childbirth and puerperium","Other obstetric conditions, not elsewhere classified","Pregnancy, childbirth and the peurperium"
O95,Obstetric death of unspecified cause,"Other obstetric conditions, not elsewhere classified","Pregnancy, childbirth and the peurperium"
O96,Death from any obstetric cause occurring more than 42 days but less than one year after delivery,"Other obstetric conditions, not elsewhere classified","Pregnancy, childbirth and the peurperium"
O97,Death from sequelae of direct obstetric causes,"Other obstetric conditions, not elsewhere classified","Pregnancy, childbirth and the peurperium"
O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified","Pregnancy, childbirth and the peurperium"
O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified","Pregnancy, childbirth and the peurperium"
P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Certain conditions originating in the perinatal period
P01,Fetus and newborn affected by maternal complications of pregnancy,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Certain conditions originating in the perinatal period
P02,"Fetus and newborn affected by complications of placenta, cord and membranes","Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Certain conditions originating in the perinatal period
P03,Fetus and newborn affected by other complications of labour and delivery,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Certain conditions originating in the perinatal period
P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",Certain conditions originating in the perinatal period
P05,Slow fetal growth and fetal malnutrition,Disorders related to length of gestation and fetal growth,Certain conditions originating in the perinatal period
P07,"Disorders related to short gestation and low birth weight, not elsewhere classified",Disorders related to length of gestation and fetal growth,Certain conditions originating in the perinatal period
P08,Disorders related to long gestation and high birth weight,Disorders related to length of gestation and fetal growth,Certain conditions originating in the perinatal period
P10,Intracranial laceration and haemorrhage due to birth injury,Birth trauma,Certain conditions originating in the perinatal period
P11,Other birth injuries to central nervous system,Birth trauma,Certain conditions originating in the perinatal period
P12,Birth injury to scalp,Birth trauma,Certain conditions originating in the perinatal period
P13,Birth injury to skeleton,Birth trauma,Certain conditions originating in the perinatal period
P14,Birth injury to peripheral nervous system,Birth trauma,Certain conditions originating in the perinatal period
P15,Other birth injuries,Birth trauma,Certain conditions originating in the perinatal period
P20,Intrauterine hypoxia,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P21,Birth asphyxia,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P22,Respiratory distress of newborn,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P23,Congenital pneumonia,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P24,Neonatal aspiration syndromes,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P25,Interstitial emphysema and related conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P26,Pulmonary haemorrhage originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P27,Chronic respiratory disease originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P28,Other respiratory conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P29,Cardiovascular disorders originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period,Certain conditions originating in the perinatal period
P35,Congenital viral diseases,Infections specific to the perinatal period,Certain conditions originating in the perinatal period
P36,Bacterial sepsis of newborn,Infections specific to the perinatal period,Certain conditions originating in the perinatal period
P37,Other congenital infectious and parasitic diseases,Infections specific to the perinatal period,Certain conditions originating in the perinatal period
P38,Omphalitis of newborn with or without mild haemorrhage,Infections specific to the perinatal period,Certain conditions originating in the perinatal period
P39,Other infections specific to the perinatal period,Infections specific to the perinatal period,Certain conditions originating in the perinatal period
P50,Fetal blood loss,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P51,Umbilical haemorrhage of newborn,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P53,Haemorrhagic disease of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P54,Other neonatal haemorrhages,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P55,Haemolytic disease of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P56,Hydrops fetalis due to haemolytic disease,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P57,Kernicterus,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P58,Neonatal jaundice due to other excessive haemolysis,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P59,Neonatal jaundice from other and unspecified causes,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P60,Disseminated intravascular coagulation of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P61,Other perinatal haematological disorders,Haemorrhagic and haematological disorders of fetus and newborn,Certain conditions originating in the perinatal period
P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,Transitory endocrine and metabolic disorders specific to fetus and newborn,Certain conditions originating in the perinatal period
P71,Transitory neonatal disorders of calcium and magnesium metabolism,Transitory endocrine and metabolic disorders specific to fetus and newborn,Certain conditions originating in the perinatal period
P72,Other transitory neonatal endocrine disorders,Transitory endocrine and metabolic disorders specific to fetus and newborn,Certain conditions originating in the perinatal period
P74,Other transitory neonatal electrolyte and metabolic disturbances,Transitory endocrine and metabolic disorders specific to fetus and newborn,Certain conditions originating in the perinatal period
P75*,Meconium ileus (E84.1+),Digestive system disorders of fetus and newborn,Certain conditions originating in the perinatal period
P76,Other intestinal obstruction of newborn,Digestive system disorders of fetus and newborn,Certain conditions originating in the perinatal period
P77,Necrotizing enterocolitis of fetus and newborn,Digestive system disorders of fetus and newborn,Certain conditions originating in the perinatal period
P78,Other perinatal digestive system disorders,Digestive system disorders of fetus and newborn,Certain conditions originating in the perinatal period
P80,Hypothermia of newborn,Conditions involving the integument and temperature regulation of fetus and newborn,Certain conditions originating in the perinatal period
P81,Other disturbances of temperature regulation of newborn,Conditions involving the integument and temperature regulation of fetus and newborn,Certain conditions originating in the perinatal period
P83,Other conditions of integument specific to fetus and newborn,Conditions involving the integument and temperature regulation of fetus and newborn,Certain conditions originating in the perinatal period
P90,Convulsions of newborn,Other disorders originating in the perinatal period,Certain conditions originating in the perinatal period
P91,Other disturbances of cerebral status of newborn,Other disorders originating in the perinatal period,Certain conditions originating in the perinatal period
P92,Feeding problems of newborn,Other disorders originating in the perinatal period,Certain conditions originating in the perinatal period
P93,Reactions and intoxications due to drugs administered to fetus and newborn,Other disorders originating in the perinatal period,Certain conditions originating in the perinatal period
P94,Disorders of muscle tone of newborn,Other disorders originating in the perinatal period,Certain conditions originating in the perinatal period
P95,Fetal death of unspecified cause,Other disorders originating in the perinatal period,Certain conditions originating in the perinatal period
P96,Other conditions originating in the perinatal period,Other disorders originating in the perinatal period,Certain conditions originating in the perinatal period
Q00,Anencephaly and similar malformations,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q01,Encephalocele,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q02,Microcephaly,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q03,Congenital hydrocephalus,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q04,Other congenital malformations of brain,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q05,Spina bifida,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q06,Other congenital malformations of spinal cord,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q07,Other congenital malformations of nervous system,Congenital malformations of the nervous system,"Congenital malformations, deformations and chromosomal abnormalities"
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit","Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q11,"Anophthalmos, microphthalmos and macrophthalmos","Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q12,Congenital lens malformations,"Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q13,Congenital malformations of anterior segment of eye,"Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q14,Congenital malformations of posterior segment of eye,"Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q15,Other congenital malformations of eye,"Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q16,Congenital malformations of ear causing impairment of hearing,"Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q17,Other congenital malformations of ear,"Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q18,Other congenital malformations of face and neck,"Congenital malformations of the eye, ear, face and neck","Congenital malformations, deformations and chromosomal abnormalities"
Q20,Congenital malformations of cardiac chambers and connections,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q21,Congenital malformations of cardiac septa,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q22,Congenital malformations of pulmonary and tricuspid valves,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q23,Congenital malformations of aortic and mitral valves,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q24,Other congenital malformations of heart,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q25,Congenital malformations of great arteries,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q26,Congenital malformations of great veins,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q27,Other congenital malformations of peripheral vascular system,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q28,Other congenital malformations of circulatory system,Congenital malformations of the circulatory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q30,Congenital malformations of nose,Congenital malformations of the respiratory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q31,Congenital malformations of larynx,Congenital malformations of the respiratory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q32,Congenital malformations of trachea and bronchus,Congenital malformations of the respiratory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q33,Congenital malformations of lung,Congenital malformations of the respiratory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q34,Other congenital malformations of respiratory system,Congenital malformations of the respiratory system,"Congenital malformations, deformations and chromosomal abnormalities"
Q35,Cleft palate,Cleft lip and cleft palate,"Congenital malformations, deformations and chromosomal abnormalities"
Q36,Cleft lip,Cleft lip and cleft palate,"Congenital malformations, deformations and chromosomal abnormalities"
Q37,Cleft palate with cleft lip,Cleft lip and cleft palate,"Congenital malformations, deformations and chromosomal abnormalities"
Q38,"Other congenital malformations of tongue, mouth and pharynx",Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q39,Congenital malformations of oesophagus,Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q40,Other congenital malformations of upper alimentary tract,Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q41,"Congenital absence, atresia and stenosis of small intestine",Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q42,"Congenital absence, atresia and stenosis of large intestine",Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q43,Other congenital malformations of intestine,Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q44,"Congenital malformations of gallbladder, bile ducts and liver",Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q45,Other congenital malformations of digestive system,Other congenital malformations of the digestive system,"Congenital malformations, deformations and chromosomal abnormalities"
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",Congenital malformations of the genital organs,"Congenital malformations, deformations and chromosomal abnormalities"
Q51,Congenital malformations of uterus and cervix,Congenital malformations of the genital organs,"Congenital malformations, deformations and chromosomal abnormalities"
Q52,Other congenital malformations of female genitalia,Congenital malformations of the genital organs,"Congenital malformations, deformations and chromosomal abnormalities"
Q53,Undescended testicle,Congenital malformations of the genital organs,"Congenital malformations, deformations and chromosomal abnormalities"
Q54,Hypospadias,Congenital malformations of the genital organs,"Congenital malformations, deformations and chromosomal abnormalities"
Q55,Other congenital malformations of male genital organs,Congenital malformations of the genital organs,"Congenital malformations, deformations and chromosomal abnormalities"
Q56,Indeterminate sex and pseudohermaphroditism,Congenital malformations of the genital organs,"Congenital malformations, deformations and chromosomal abnormalities"
Q60,Renal agenesis and other reduction defects of kidney,Congential malformations os the urinary system,"Congenital malformations, deformations and chromosomal abnormalities"
Q61,Cystic kidney disease,Congential malformations os the urinary system,"Congenital malformations, deformations and chromosomal abnormalities"
Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Congential malformations os the urinary system,"Congenital malformations, deformations and chromosomal abnormalities"
Q63,Other congenital malformations of kidney,Congential malformations os the urinary system,"Congenital malformations, deformations and chromosomal abnormalities"
Q64,Other congenital malformations of urinary system,Congential malformations os the urinary system,"Congenital malformations, deformations and chromosomal abnormalities"
Q65,Congenital deformities of hip,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q66,Congenital deformities of feet,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q68,Other congenital musculoskeletal deformities,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q69,Polydactyly,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q70,Syndactyly,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q71,Reduction defects of upper limb,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q72,Reduction defects of lower limb,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q73,Reduction defects of unspecified limb,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q74,Other congenital malformations of limb(s),Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q75,Other congenital malformations of skull and face bones,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q76,Congenital malformations of spine and bony thorax,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q78,Other osteochondrodysplasias,Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified",Congenital malformations and deformations of the musculoskeletal system,"Congenital malformations, deformations and chromosomal abnormalities"
Q80,Congenital ichthyosis,Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q81,Epidermolysis bullosa,Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q82,Other congenital malformations of skin,Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q83,Congenital malformations of breast,Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q84,Other congenital malformations of integument,Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q85,"Phakomatoses, not elsewhere classified",Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q86,"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified",Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q87,Other specified congenital malformation syndromes affecting multiple systems,Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q89,"Other congenital malformations, not elsewhere classified",Other congenital malformations,"Congenital malformations, deformations and chromosomal abnormalities"
Q90,Down's syndrome,"Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q91,Edwards' syndrome and Patau's syndrome,"Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q95,"Balanced rearrangements and structural markers, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q96,Turner's syndrome,"Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
Q99,"Other chromosome abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified","Congenital malformations, deformations and chromosomal abnormalities"
R00,Abnormalities of heart beat,Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R01,Cardiac murmurs and other cardiac sounds,Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R02,"Gangrene, not elsewhere classified",Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R03,"Abnormal blood-pressure reading, without diagnosis",Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R04,Haemorrhage from respiratory passages,Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R05,Cough,Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R06,Abnormalities of breathing,Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R07,Pain in throat and chest,Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R09,Other symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the ciculatory and respiratory systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R10,Abdominal and pelvic pain,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R11,Nausea and vomiting,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R12,Heartburn,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R13,Dysphagia,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R14,Flatulence and related conditions,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R15,Faecal incontinence,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R16,"Hepatomegaly and splenomegaly, not elsewhere classified",Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R17,Unspecified jaundice,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R18,Ascites,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R19,Other symptoms and signs involving the digestive system and abdomen,Symptoms and signs involving the digestive system and abdomen,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R20,Disturbances of skin sensation,Symptoms and signs involving the skin and subcutaneous tissue,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R21,Rash and other nonspecific skin eruption,Symptoms and signs involving the skin and subcutaneous tissue,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue",Symptoms and signs involving the skin and subcutaneous tissue,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R23,Other skin changes,Symptoms and signs involving the skin and subcutaneous tissue,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R25,Abnormal involuntary movements,Symptoms and signs involving the nervous and musculoskeletal systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R26,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R27,Other lack of coordination,Symptoms and signs involving the nervous and musculoskeletal systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R29,Other symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R30,Pain associated with micturition,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R31,Unspecified haematuria,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R32,Unspecified urinary incontinence,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R33,Retention of urine,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R34,Anuria and oliguria,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R35,Polyuria,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R36,Urethral discharge,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R39,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R40,"Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, emotional state and behaviour","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R41,Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R42,Dizziness and giddiness,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R43,Disturbances of smell and taste,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R44,Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R45,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R46,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R47,"Speech disturbances, not elsewhere classified",Symptoms and signs involving speech and voice,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",Symptoms and signs involving speech and voice,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R49,Voice disturbances,Symptoms and signs involving speech and voice,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R50,Fever of unknown origin,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R51,Headache,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R52,"Pain, not elsewhere classified",General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R53,Malaise and fatigue,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R54,Senility,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R55,Syncope and collapse,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R56,"Convulsions, not elsewhere classified",General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R57,"Shock, not elsewhere classified",General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R58,"Haemorrhage, not elsewhere classified",General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R59,Enlarged lymph nodes,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R60,"Oedema, not elsewhere classified",General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R61,Hyperhidrosis,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R62,Lack of expected normal physiological development,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R63,Symptoms and signs concerning food and fluid intake,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R64,Cachexia,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R65,Systemic Inflammatory Response Syndrome (SIRS),General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R68,Other general symptoms and signs,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R69,Unknown and unspecified causes of morbidity,General symptoms and signs,"Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R70,Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,"Abnormal findings on examination of blood, without diagnosis","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
R71,Abnormality of red blood cells,"Abnormal findings on examination of blood, without diagnosis","Symptoms, signs, and abnormal clinical and laboratory findings, not elsewhere classified"
