three_character,group,sub_chapter
L27,Dermatitis due to substances taken internally,Dermatitis and eczema
L28,Lichen simplex chronicus and prurigo,Dermatitis and eczema
L29,Pruritus,Dermatitis and eczema
L30,Other dermatitis,Dermatitis and eczema
L40,Psoriasis,Papulosquamous disorders
L41,Parapsoriasis,Papulosquamous disorders
L42,Pityriasis rosea,Papulosquamous disorders
L43,Lichen planus,Papulosquamous disorders
L44,Other papulosquamous disorders,Papulosquamous disorders
L45,Papulosquamous disorders in diseases classified elsewhere,Papulosquamous disorders
L50,Urticaria,Urticaria and erythema
L51,Erythema multiforme,Urticaria and erythema
L52,Erythema nodosum,Urticaria and erythema
L53,Other erythematous conditions,Urticaria and erythema
L54,Erythema in diseases classified elsewhere,Urticaria and erythema
L55,Sunburn,Radiation-related disorders of the skin and subcutaneous tissue
L56,Other acute skin changes due to ultraviolet radiation,Radiation-related disorders of the skin and subcutaneous tissue
L57,Skin changes due to chronic exposure to nonionizing radiation,Radiation-related disorders of the skin and subcutaneous tissue
L58,Radiodermatitis,Radiation-related disorders of the skin and subcutaneous tissue
L59,Other disorders of skin and subcutaneous tissue related to radiation,Radiation-related disorders of the skin and subcutaneous tissue
L60,Nail disorders,Disorders of skin appendages
L62,Nail disorders in diseases classified elsewhere,Disorders of skin appendages
L63,Alopecia areata,Disorders of skin appendages
L64,Androgenic alopecia,Disorders of skin appendages
L65,Other nonscarring hair loss,Disorders of skin appendages
L66,Cicatricial alopecia [scarring hair loss],Disorders of skin appendages
L67,Hair colour and hair shaft abnormalities,Disorders of skin appendages
L68,Hypertrichosis,Disorders of skin appendages
L70,Acne,Disorders of skin appendages
L71,Rosacea,Disorders of skin appendages
L72,Follicular cysts of skin and subcutaneous tissue,Disorders of skin appendages
L73,Other follicular disorders,Disorders of skin appendages
L74,Eccrine sweat disorders,Disorders of skin appendages
L75,Apocrine sweat disorders,Disorders of skin appendages
L80,Vitiligo,Other disorders of the skin and subcutaneous tissue
L81,Other disorders of pigmentation,Other disorders of the skin and subcutaneous tissue
L82,Seborrhoeic keratosis,Other disorders of the skin and subcutaneous tissue
L83,Acanthosis nigricans,Other disorders of the skin and subcutaneous tissue
L84,Corns and callosities,Other disorders of the skin and subcutaneous tissue
L85,Other epidermal thickening,Other disorders of the skin and subcutaneous tissue
L86,Keratoderma in diseases classified elsewhere,Other disorders of the skin and subcutaneous tissue
L87,Transepidermal elimination disorders,Other disorders of the skin and subcutaneous tissue
L88,Pyoderma gangrenosum,Other disorders of the skin and subcutaneous tissue
L89,Decubitus ulcer,Other disorders of the skin and subcutaneous tissue
L90,Atrophic disorders of skin,Other disorders of the skin and subcutaneous tissue
L91,Hypertrophic disorders of skin,Other disorders of the skin and subcutaneous tissue
L92,Granulomatous disorders of skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
L93,Lupus erythematosus,Other disorders of the skin and subcutaneous tissue
L94,Other localized connective tissue disorders,Other disorders of the skin and subcutaneous tissue
L95,"Vasculitis limited to skin, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
L97,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,Other disorders of the skin and subcutaneous tissue
M00,Pyogenic arthritis,Arthopathies
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,Arthopathies
M02,Reactive arthropathies,Arthopathies
M03,Postinfective and reactive arthropathies in diseases classified elsewhere,Arthopathies
M05,Seropositive rheumatoid arthritis,Arthopathies
M06,Other rheumatoid arthritis,Arthopathies
M07,Psoriatic and enteropathic arthropathies,Arthopathies
M08,Juvenile arthritis,Arthopathies
M09,Juvenile arthritis in diseases classified elsewhere,Arthopathies
M10,Gout,Arthopathies
M11,Other crystal arthropathies,Arthopathies
M12,Other specific arthropathies,Arthopathies
M13,Other arthritis,Arthopathies
M14,Arthropathies in other diseases classified elsewhere,Arthopathies
M15,Polyarthrosis,Arthopathies
M16,Coxarthrosis [arthrosis of hip],Arthopathies
M17,Gonarthrosis [arthrosis of knee],Arthopathies
M18,Arthrosis of first carpometacarpal joint,Arthopathies
M19,Other arthrosis,Arthopathies
M20,Acquired deformities of fingers and toes,Arthopathies
M21,Other acquired deformities of limbs,Arthopathies
M22,Disorders of patella,Arthopathies
M23,Internal derangement of knee,Arthopathies
M24,Other specific joint derangements,Arthopathies
M25,"Other joint disorders, not elsewhere classified",Arthopathies
M30,Polyarteritis nodosa and related conditions,Systemic connective tissue disorders
M31,Other necrotizing vasculopathies,Systemic connective tissue disorders
M32,Systemic lupus erythematosus,Systemic connective tissue disorders
M33,Dermatopolymyositis,Systemic connective tissue disorders
M34,Systemic sclerosis,Systemic connective tissue disorders
M35,Other systemic involvement of connective tissue,Systemic connective tissue disorders
M36,Systemic disorders of connective tissue in diseases classified elsewhere,Systemic connective tissue disorders
M40,Kyphosis and lordosis,Dorsopathies
M41,Scoliosis,Dorsopathies
M42,Spinal osteochondrosis,Dorsopathies
M43,Other deforming dorsopathies,Dorsopathies
M45,Ankylosing spondylitis,Dorsopathies
M46,Other inflammatory spondylopathies,Dorsopathies
M47,Spondylosis,Dorsopathies
M48,Other spondylopathies,Dorsopathies
M49,Spondylopathies in diseases classified elsewhere,Dorsopathies
M50,Cervical disc disorders,Dorsopathies
M51,Other intervertebral disc disorders,Dorsopathies
M53,"Other dorsopathies, not elsewhere classified",Dorsopathies
M54,Dorsalgia,Dorsopathies
M60,Myositis,Soft tissue disorders
M61,Calcification and ossification of muscle,Soft tissue disorders
M62,Other disorders of muscle,Soft tissue disorders
M63,Disorders of muscle in diseases classified elsewhere,Soft tissue disorders
M65,Synovitis and tenosynovitis,Soft tissue disorders
M66,Spontaneous rupture of synovium and tendon,Soft tissue disorders
M67,Other disorders of synovium and tendon,Soft tissue disorders
M68,Disorders of synovium and tendon in diseases classified elsewhere,Soft tissue disorders
M70,"Soft tissue disorders related to use, overuse and pressure",Soft tissue disorders
M71,Other bursopathies,Soft tissue disorders
M72,Fibroblastic disorders,Soft tissue disorders
M73,Soft tissue disorders in diseases classified elsewhere,Soft tissue disorders
M75,Shoulder lesions,Soft tissue disorders
M76,"Enthesopathies of lower limb, excluding foot",Soft tissue disorders
M77,Other enthesopathies,Soft tissue disorders
M79,"Other soft tissue disorders, not elsewhere classified",Soft tissue disorders
M80,Osteoporosis with pathological fracture,Osteopathies and chondropathies
M81,Osteoporosis without pathological fracture,Osteopathies and chondropathies
M82,Osteoporosis in diseases classified elsewhere,Osteopathies and chondropathies
M83,Adult osteomalacia,Osteopathies and chondropathies
M84,Disorders of continuity of bone,Osteopathies and chondropathies
M85,Other disorders of bone density and structure,Osteopathies and chondropathies
M86,Osteomyelitis,Osteopathies and chondropathies
M87,Osteonecrosis,Osteopathies and chondropathies
M88,Paget's disease of bone [osteitis deformans],Osteopathies and chondropathies
M89,Other disorders of bone,Osteopathies and chondropathies
M90,Osteopathies in diseases classified elsewhere,Osteopathies and chondropathies
M91,Juvenile osteochondrosis of hip and pelvis,Osteopathies and chondropathies
M92,Other juvenile osteochondrosis,Osteopathies and chondropathies
M93,Other osteochondropathies,Osteopathies and chondropathies
M94,Other disorders of cartilage,Osteopathies and chondropathies
M95,Other acquired deformities of musculoskeletal system and connective tissue,Other disorders od the musculoskeletal system and connective tissue
M96,"Postprocedural musculoskeletal disorders, not elsewhere classified",Other disorders od the musculoskeletal system and connective tissue
M99,"Biomechanical lesions, not elsewhere classified",Other disorders od the musculoskeletal system and connective tissue
N00,Acute nephritic syndrome,Glomerular diseases
N01,Rapidly progressive nephritic syndrome,Glomerular diseases
N02,Recurrent and persistent haematuria,Glomerular diseases
N03,Chronic nephritic syndrome,Glomerular diseases
N04,Nephrotic syndrome,Glomerular diseases
N05,Unspecified nephritic syndrome,Glomerular diseases
N06,Isolated proteinuria with specified morphological lesion,Glomerular diseases
N07,"Hereditary nephropathy, not elsewhere classified",Glomerular diseases
N08,Glomerular disorders in diseases classified elsewhere,Glomerular diseases
N10,Acute tubulo-interstitial nephritis,Reanl tubulo-interstitial diseases
N11,Chronic tubulo-interstitial nephritis,Reanl tubulo-interstitial diseases
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",Reanl tubulo-interstitial diseases
N13,Obstructive and reflux uropathy,Reanl tubulo-interstitial diseases
N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,Reanl tubulo-interstitial diseases
N15,Other renal tubulo-interstitial diseases,Reanl tubulo-interstitial diseases
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere,Reanl tubulo-interstitial diseases
N17,Acute renal failure,Renal failure
N18,Chronic renal failure,Renal failure
N19,Unspecified renal failure,Renal failure
N20,Calculus of kidney and ureter,Urolithiasis
N21,Calculus of lower urinary tract,Urolithiasis
N22,Calculus of urinary tract in diseases classified elsewhere,Urolithiasis
N23,Unspecified renal colic,Urolithiasis
N25,Disorders resulting from impaired renal tubular function,Other disorders od the kidney and ureter
N26,Unspecified contracted kidney,Other disorders od the kidney and ureter
N27,Small kidney of unknown cause,Other disorders od the kidney and ureter
N28,"Other disorders of kidney and ureter, not elsewhere classified",Other disorders od the kidney and ureter
N29,Other disorders of kidney and ureter in diseases classified elsewhere,Other disorders od the kidney and ureter
N30,Cystitis,Other diseases of the urinary system
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",Other diseases of the urinary system
N32,Other disorders of bladder,Other diseases of the urinary system
N33,Bladder disorders in diseases classified elsewhere,Other diseases of the urinary system
N34,Urethritis and urethral syndrome,Other diseases of the urinary system
N35,Urethral stricture,Other diseases of the urinary system
N36,Other disorders of urethra,Other diseases of the urinary system
N37,Urethral disorders in diseases classified elsewhere,Other diseases of the urinary system
N39,Other disorders of urinary system,Other diseases of the urinary system
N40,Hyperplasia of prostate,Diseases of the male genital organs
N41,Inflammatory diseases of prostate,Diseases of the male genital organs
N42,Other disorders of prostate,Diseases of the male genital organs
N43,Hydrocele and spermatocele,Diseases of the male genital organs
N44,Torsion of testis,Diseases of the male genital organs
N45,Orchitis and epididymitis,Diseases of the male genital organs
N46,Male infertility,Diseases of the male genital organs
N47,"Redundant prepuce, phimosis and paraphimosis",Diseases of the male genital organs
N48,Other disorders of penis,Diseases of the male genital organs
N49,"Inflammatory disorders of male genital organs, not elsewhere classified",Diseases of the male genital organs
N50,Other disorders of male genital organs,Diseases of the male genital organs
N51,Disorders of male genital organs in diseases classified elsewhere,Diseases of the male genital organs
N60,Benign mammary dysplasia,Disorders of the breast
N61,Inflammatory disorders of breast,Disorders of the breast
N62,Hypertrophy of breast,Disorders of the breast
N63,Unspecified lump in breast,Disorders of the breast
N64,Other disorders of breast,Disorders of the breast
N70,Salpingitis and oophoritis,Inflammatory diseases of femal pelvic organs
N71,"Inflammatory disease of uterus, except cervix",Inflammatory diseases of femal pelvic organs
N72,Inflammatory disease of cervix uteri,Inflammatory diseases of femal pelvic organs
N73,Other female pelvic inflammatory diseases,Inflammatory diseases of femal pelvic organs
N74,Female pelvic inflammatory disorders in diseases classified elsewhere,Inflammatory diseases of femal pelvic organs
N75,Diseases of Bartholin's gland,Inflammatory diseases of femal pelvic organs
N76,Other inflammation of vagina and vulva,Inflammatory diseases of femal pelvic organs
N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere,Inflammatory diseases of femal pelvic organs
N80,Endometriosis,Noninflammatory diseases of female genital tract
N81,Female genital prolapse,Noninflammatory diseases of female genital tract
N82,Fistulae involving female genital tract,Noninflammatory diseases of female genital tract
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",Noninflammatory diseases of female genital tract
N84,Polyp of female genital tract,Noninflammatory diseases of female genital tract
N85,"Other noninflammatory disorders of uterus, except cervix",Noninflammatory diseases of female genital tract
N86,Erosion and ectropion of cervix uteri,Noninflammatory diseases of female genital tract
N87,Dysplasia of cervix uteri,Noninflammatory diseases of female genital tract
N88,Other noninflammatory disorders of cervix uteri,Noninflammatory diseases of female genital tract
N89,Other noninflammatory disorders of vagina,Noninflammatory diseases of female genital tract
N90,Other noninflammatory disorders of vulva and perineum,Noninflammatory diseases of female genital tract
N91,"Absent, scanty and rare menstruation",Noninflammatory diseases of female genital tract
N92,"Excessive, frequent and irregular menstruation",Noninflammatory diseases of female genital tract
N93,Other abnormal uterine and vaginal bleeding,Noninflammatory diseases of female genital tract
N94,Pain and other conditions associated with female genital organs and menstrual cycle,Noninflammatory diseases of female genital tract
N95,Menopausal and other perimenopausal disorders,Noninflammatory diseases of female genital tract
N96,Habitual aborter,Noninflammatory diseases of female genital tract
N97,Female infertility,Noninflammatory diseases of female genital tract
N98,Complications associated with artificial fertilization,Noninflammatory diseases of female genital tract
N99,"Postprocedural disorders of genitourinary system, not elsewhere classified",Other disorders of the genitourinary system
O00,Ectopic pregnancy,Pregnancy with abortive outcome
O01,Hydatidiform mole,Pregnancy with abortive outcome
O02,Other abnormal products of conception,Pregnancy with abortive outcome
O03,Spontaneous abortion,Pregnancy with abortive outcome
O04,Medical abortion,Pregnancy with abortive outcome
O05,Other abortion,Pregnancy with abortive outcome
O06,Unspecified abortion,Pregnancy with abortive outcome
O07,Failed attempted abortion,Pregnancy with abortive outcome
O08,Complications following abortion and ectopic and molar pregnancy,Pregnancy with abortive outcome
O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O11,Pre-existing hypertensive disorder with superimposed proteinuria,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O14,Gestational [pregnancy-induced] hypertension with significant proteinuria,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O15,Eclampsia,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O16,Unspecified maternal hypertension,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O20,Haemorrhage in early pregnancy,Other maternal disorders predominantly related to pregnancy
O21,Excessive vomiting in pregnancy,Other maternal disorders predominantly related to pregnancy
O22,Venous complications in pregnancy,Other maternal disorders predominantly related to pregnancy
O23,Infections of genitourinary tract in pregnancy,Other maternal disorders predominantly related to pregnancy
O24,Diabetes mellitus in pregnancy,Other maternal disorders predominantly related to pregnancy
O25,Malnutrition in pregnancy,Other maternal disorders predominantly related to pregnancy
O26,Maternal care for other conditions predominantly related to pregnancy,Other maternal disorders predominantly related to pregnancy
O28,Abnormal findings on antenatal screening of mother,Other maternal disorders predominantly related to pregnancy
O29,Complications of anaesthesia during pregnancy,Other maternal disorders predominantly related to pregnancy
O30,Multiple gestation,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O31,Complications specific to multiple gestation,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O32,Maternal care for known or suspected malpresentation of fetus,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O33,Maternal care for known or suspected disproportion,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O34,Maternal care for known or suspected abnormality of pelvic organs,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O35,Maternal care for known or suspected fetal abnormality and damage,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O36,Maternal care for other known or suspected fetal problems,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O40,Polyhydramnios,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O41,Other disorders of amniotic fluid and membranes,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O42,Premature rupture of membranes,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O43,Placental disorders,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O44,Placenta praevia,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O45,Premature separation of placenta [abruptio placentae],Maternal care related to the fetus and amniotic cavity and possible delivery problems
O46,"Antepartum haemorrhage, not elsewhere classified",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O47,False labour,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O48,Prolonged pregnancy,Maternal care related to the fetus and amniotic cavity and possible delivery problems
O60,Preterm delivery,Complications of labour and delivery
O61,Failed induction of labour,Complications of labour and delivery
O62,Abnormalities of forces of labour,Complications of labour and delivery
O63,Long labour,Complications of labour and delivery
O64,Obstructed labour due to malposition and malpresentation of fetus,Complications of labour and delivery
O65,Obstructed labour due to maternal pelvic abnormality,Complications of labour and delivery
O66,Other obstructed labour,Complications of labour and delivery
O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",Complications of labour and delivery
O68,Labour and delivery complicated by fetal stress [distress],Complications of labour and delivery
O69,Labour and delivery complicated by umbilical cord complications,Complications of labour and delivery
O70,Perineal laceration during delivery,Complications of labour and delivery
O71,Other obstetric trauma,Complications of labour and delivery
O72,Postpartum haemorrhage,Complications of labour and delivery
O73,"Retained placenta and membranes, without haemorrhage",Complications of labour and delivery
O74,Complications of anaesthesia during labour and delivery,Complications of labour and delivery
O75,"Other complications of labour and delivery, not elsewhere classified",Complications of labour and delivery
O80,Single spontaneous delivery,Delivery
O81,Single delivery by forceps and vacuum extractor,Delivery
O82,Single delivery by caesarean section,Delivery
O83,Other assisted single delivery,Delivery
O84,Multiple delivery,Delivery
O85,Puerperal sepsis,Complications predominantly related to the puerperium
O86,Other puerperal infections,Complications predominantly related to the puerperium
O87,Venous complications in the puerperium,Complications predominantly related to the puerperium
O88,Obstetric embolism,Complications predominantly related to the puerperium
O89,Complications of anaesthesia during the puerperium,Complications predominantly related to the puerperium
O90,"Complications of the puerperium, not elsewhere classified",Complications predominantly related to the puerperium
O91,Infections of breast associated with childbirth,Complications predominantly related to the puerperium
O92,Other disorders of breast and lactation associated with childbirth,Complications predominantly related to the puerperium
O94,"Sequelae of complication of pregnancy, childbirth and puerperium","Other obstetric conditions, not elsewhere classified"
O95,Obstetric death of unspecified cause,"Other obstetric conditions, not elsewhere classified"
O96,Death from any obstetric cause occurring more than 42 days but less than one year after delivery,"Other obstetric conditions, not elsewhere classified"
O97,Death from sequelae of direct obstetric causes,"Other obstetric conditions, not elsewhere classified"
O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P01,Fetus and newborn affected by maternal complications of pregnancy,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P02,"Fetus and newborn affected by complications of placenta, cord and membranes","Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P03,Fetus and newborn affected by other complications of labour and delivery,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P05,Slow fetal growth and fetal malnutrition,Disorders related to length of gestation and fetal growth
P07,"Disorders related to short gestation and low birth weight, not elsewhere classified",Disorders related to length of gestation and fetal growth
P08,Disorders related to long gestation and high birth weight,Disorders related to length of gestation and fetal growth
P10,Intracranial laceration and haemorrhage due to birth injury,Birth trauma
P11,Other birth injuries to central nervous system,Birth trauma
P12,Birth injury to scalp,Birth trauma
P13,Birth injury to skeleton,Birth trauma
P14,Birth injury to peripheral nervous system,Birth trauma
P15,Other birth injuries,Birth trauma
P20,Intrauterine hypoxia,Respiratory and cardiovascular disorders specific to the perinatal period
P21,Birth asphyxia,Respiratory and cardiovascular disorders specific to the perinatal period
P22,Respiratory distress of newborn,Respiratory and cardiovascular disorders specific to the perinatal period
P23,Congenital pneumonia,Respiratory and cardiovascular disorders specific to the perinatal period
P24,Neonatal aspiration syndromes,Respiratory and cardiovascular disorders specific to the perinatal period
P25,Interstitial emphysema and related conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P26,Pulmonary haemorrhage originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P27,Chronic respiratory disease originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P28,Other respiratory conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P29,Cardiovascular disorders originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P35,Congenital viral diseases,Infections specific to the perinatal period
P36,Bacterial sepsis of newborn,Infections specific to the perinatal period
P37,Other congenital infectious and parasitic diseases,Infections specific to the perinatal period
P38,Omphalitis of newborn with or without mild haemorrhage,Infections specific to the perinatal period
P39,Other infections specific to the perinatal period,Infections specific to the perinatal period
P50,Fetal blood loss,Haemorrhagic and haematological disorders of fetus and newborn
P51,Umbilical haemorrhage of newborn,Haemorrhagic and haematological disorders of fetus and newborn
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn
P53,Haemorrhagic disease of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn
P54,Other neonatal haemorrhages,Haemorrhagic and haematological disorders of fetus and newborn
P55,Haemolytic disease of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn
P56,Hydrops fetalis due to haemolytic disease,Haemorrhagic and haematological disorders of fetus and newborn
P57,Kernicterus,Haemorrhagic and haematological disorders of fetus and newborn
P58,Neonatal jaundice due to other excessive haemolysis,Haemorrhagic and haematological disorders of fetus and newborn
P59,Neonatal jaundice from other and unspecified causes,Haemorrhagic and haematological disorders of fetus and newborn
P60,Disseminated intravascular coagulation of fetus and newborn,Haemorrhagic and haematological disorders of fetus and newborn
P61,Other perinatal haematological disorders,Haemorrhagic and haematological disorders of fetus and newborn
P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,Transitory endocrine and metabolic disorders specific to fetus and newborn
P71,Transitory neonatal disorders of calcium and magnesium metabolism,Transitory endocrine and metabolic disorders specific to fetus and newborn
P72,Other transitory neonatal endocrine disorders,Transitory endocrine and metabolic disorders specific to fetus and newborn
P74,Other transitory neonatal electrolyte and metabolic disturbances,Transitory endocrine and metabolic disorders specific to fetus and newborn
P75*,Meconium ileus (E84.1+),Digestive system disorders of fetus and newborn
P76,Other intestinal obstruction of newborn,Digestive system disorders of fetus and newborn
P77,Necrotizing enterocolitis of fetus and newborn,Digestive system disorders of fetus and newborn
P78,Other perinatal digestive system disorders,Digestive system disorders of fetus and newborn
P80,Hypothermia of newborn,Conditions involving the integument and temperature regulation of fetus and newborn
P81,Other disturbances of temperature regulation of newborn,Conditions involving the integument and temperature regulation of fetus and newborn
P83,Other conditions of integument specific to fetus and newborn,Conditions involving the integument and temperature regulation of fetus and newborn
P90,Convulsions of newborn,Other disorders originating in the perinatal period
P91,Other disturbances of cerebral status of newborn,Other disorders originating in the perinatal period
P92,Feeding problems of newborn,Other disorders originating in the perinatal period
P93,Reactions and intoxications due to drugs administered to fetus and newborn,Other disorders originating in the perinatal period
P94,Disorders of muscle tone of newborn,Other disorders originating in the perinatal period
P95,Fetal death of unspecified cause,Other disorders originating in the perinatal period
P96,Other conditions originating in the perinatal period,Other disorders originating in the perinatal period
Q00,Anencephaly and similar malformations,Congenital malformations of the nervous system
Q01,Encephalocele,Congenital malformations of the nervous system
Q02,Microcephaly,Congenital malformations of the nervous system
Q03,Congenital hydrocephalus,Congenital malformations of the nervous system
Q04,Other congenital malformations of brain,Congenital malformations of the nervous system
Q05,Spina bifida,Congenital malformations of the nervous system
Q06,Other congenital malformations of spinal cord,Congenital malformations of the nervous system
Q07,Other congenital malformations of nervous system,Congenital malformations of the nervous system
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit","Congenital malformations of the eye, ear, face and neck"
Q11,"Anophthalmos, microphthalmos and macrophthalmos","Congenital malformations of the eye, ear, face and neck"
Q12,Congenital lens malformations,"Congenital malformations of the eye, ear, face and neck"
Q13,Congenital malformations of anterior segment of eye,"Congenital malformations of the eye, ear, face and neck"
Q14,Congenital malformations of posterior segment of eye,"Congenital malformations of the eye, ear, face and neck"
Q15,Other congenital malformations of eye,"Congenital malformations of the eye, ear, face and neck"
Q16,Congenital malformations of ear causing impairment of hearing,"Congenital malformations of the eye, ear, face and neck"
Q17,Other congenital malformations of ear,"Congenital malformations of the eye, ear, face and neck"
Q18,Other congenital malformations of face and neck,"Congenital malformations of the eye, ear, face and neck"
Q20,Congenital malformations of cardiac chambers and connections,Congenital malformations of the circulatory system
Q21,Congenital malformations of cardiac septa,Congenital malformations of the circulatory system
Q22,Congenital malformations of pulmonary and tricuspid valves,Congenital malformations of the circulatory system
Q23,Congenital malformations of aortic and mitral valves,Congenital malformations of the circulatory system
Q24,Other congenital malformations of heart,Congenital malformations of the circulatory system
Q25,Congenital malformations of great arteries,Congenital malformations of the circulatory system
Q26,Congenital malformations of great veins,Congenital malformations of the circulatory system
Q27,Other congenital malformations of peripheral vascular system,Congenital malformations of the circulatory system
Q28,Other congenital malformations of circulatory system,Congenital malformations of the circulatory system
Q30,Congenital malformations of nose,Congenital malformations of the respiratory system
Q31,Congenital malformations of larynx,Congenital malformations of the respiratory system
Q32,Congenital malformations of trachea and bronchus,Congenital malformations of the respiratory system
Q33,Congenital malformations of lung,Congenital malformations of the respiratory system
Q34,Other congenital malformations of respiratory system,Congenital malformations of the respiratory system
Q35,Cleft palate,Cleft lip and cleft palate
Q36,Cleft lip,Cleft lip and cleft palate
Q37,Cleft palate with cleft lip,Cleft lip and cleft palate
Q38,"Other congenital malformations of tongue, mouth and pharynx",Other congenital malformations of the digestive system
Q39,Congenital malformations of oesophagus,Other congenital malformations of the digestive system
Q40,Other congenital malformations of upper alimentary tract,Other congenital malformations of the digestive system
Q41,"Congenital absence, atresia and stenosis of small intestine",Other congenital malformations of the digestive system
Q42,"Congenital absence, atresia and stenosis of large intestine",Other congenital malformations of the digestive system
Q43,Other congenital malformations of intestine,Other congenital malformations of the digestive system
Q44,"Congenital malformations of gallbladder, bile ducts and liver",Other congenital malformations of the digestive system
Q45,Other congenital malformations of digestive system,Other congenital malformations of the digestive system
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",Congenital malformations of the genital organs
Q51,Congenital malformations of uterus and cervix,Congenital malformations of the genital organs
Q52,Other congenital malformations of female genitalia,Congenital malformations of the genital organs
Q53,Undescended testicle,Congenital malformations of the genital organs
Q54,Hypospadias,Congenital malformations of the genital organs
Q55,Other congenital malformations of male genital organs,Congenital malformations of the genital organs
Q56,Indeterminate sex and pseudohermaphroditism,Congenital malformations of the genital organs
Q60,Renal agenesis and other reduction defects of kidney,Congential malformations os the urinary system
Q61,Cystic kidney disease,Congential malformations os the urinary system
Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Congential malformations os the urinary system
Q63,Other congenital malformations of kidney,Congential malformations os the urinary system
Q64,Other congenital malformations of urinary system,Congential malformations os the urinary system
Q65,Congenital deformities of hip,Congenital malformations and deformations of the musculoskeletal system
Q66,Congenital deformities of feet,Congenital malformations and deformations of the musculoskeletal system
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",Congenital malformations and deformations of the musculoskeletal system
Q68,Other congenital musculoskeletal deformities,Congenital malformations and deformations of the musculoskeletal system
Q69,Polydactyly,Congenital malformations and deformations of the musculoskeletal system
Q70,Syndactyly,Congenital malformations and deformations of the musculoskeletal system
Q71,Reduction defects of upper limb,Congenital malformations and deformations of the musculoskeletal system
